pid,coauthor_pid,years
75/9436,163/0545,2021
75/9436,f/MJFranklin,2021
75/9436,147/1189,2021
75/9436,117/3757,2021
75/9436,155/5478,2021
75/9436,163/0545,2020
75/9436,155/5478,2020
75/9436,117/3757,2020
75/9436,147/1189,2020
75/9436,f/MJFranklin,2020
75/9436,131/4202,2020
75/9436,94/2844,2019
75/9436,155/5478,2019
75/9436,117/3757,2019
75/9436,147/1189,2019
75/9436,f/MJFranklin,2019
75/9436,163/0545,2019
75/9436,43/2286,2019
75/9436,117/3757,2018
75/9436,f/MJFranklin,2018
75/9436,87/8324,2018
75/9436,y/JXuYu,2018
75/9436,155/5478,2018
75/9436,147/1189,2018
75/9436,155/5478,2017
75/9436,m/SamuelMadden,2017
75/9436,09/6353,2017
75/9436,25/6583,2017
75/9436,43/2286,2017
75/9436,s/MichaelStonebraker,2017
75/9436,m/SamuelMadden,2016
75/9436,d/AmolDeshpande,2016
75/9436,147/1198,2016
75/9436,58/4127,2016
75/9436,s/MichaelStonebraker,2016
75/9436,43/2286,2016
75/9436,180/5761,2016
75/9436,25/6583,2016
75/9436,t/NesimeTatbul,2016
75/9436,43/2286,2015
75/9436,s/MichaelStonebraker,2015
75/9436,b/MagdalenaBalazinska,2015
75/9436,c/UgurCetintemel,2015
75/9436,h/BillHowe,2015
75/9436,25/6583,2015
75/9436,26/6037,2015
75/9436,m/SamuelMadden,2015
75/9436,t/NesimeTatbul,2015
75/9436,25/7592,2015
75/9436,d/AmolDeshpande,2015
75/9436,41/3679,2015
75/9436,147/1198,2015
75/9436,58/4127,2015
75/9436,a/DivyakantAgrawal,2015
75/9436,a/AmrElAbbadi,2015
75/9436,147/1198,2014
75/9436,m/EssamMansour,2014
75/9436,43/2286,2014
75/9436,58/4127,2014
75/9436,s/MichaelStonebraker,2014
75/9436,d/AmolDeshpande,2014
75/9436,m/SamuelMadden,2014
75/9436,c/CarloCurino,2013
75/9436,a/DivyakantAgrawal,2013
75/9436,a/AmrElAbbadi,2013
75/9436,71/5974,2013
75/9436,y/XifengYan,2013
75/9436,a/DivyakantAgrawal,2012
75/9436,a/AmrElAbbadi,2012
75/9436,o/BengChinOoi,2012
75/9436,71/5974,2012
75/9436,52/1382,2012
75/9436,58/4127,2012
75/9436,86/9726,2012
75/9436,a/DivyakantAgrawal,2011
75/9436,a/AmrElAbbadi,2011
75/9436,71/5974,2011
162/9092,250/2789,2019
162/9092,96/7128,2019
162/9092,w/GerhardWeikum,2019
162/9092,96/7128,2018
162/9092,w/GerhardWeikum,2018
162/9092,t/MartinTheobald,2017
162/9092,w/GerhardWeikum,2017
162/9092,96/7128,2017
162/9092,r/MirekRiedewald,2017
162/9092,w/GerhardWeikum,2015
127/6195,87/10957,2021
127/6195,87/11444,2021
127/6195,o/FatmaOzcan,2021
127/6195,37/3868,2021
127/6195,w/WeiWang,2021
127/6195,54/6752,2021
127/6195,129/8181,2020
127/6195,87/10957,2020
127/6195,o/FatmaOzcan,2020
127/6195,87/11444,2020
127/6195,27/3375,2020
127/6195,129/8181,2019
127/6195,o/FatmaOzcan,2019
127/6195,87/10957,2019
127/6195,87/10957,2018
127/6195,o/FatmaOzcan,2018
127/6195,129/8181,2018
127/6195,g/HimanshuGupta,2017
127/6195,12/1770-5,2017
127/6195,56/451,2017
127/6195,22/835-1,2017
127/6195,60/2319,2017
127/6195,o/FatmaOzcan,2017
127/6195,129/8181,2017
127/6195,58/1388,2017
127/6195,131/4202,2016
127/6195,g/JonathanGoldstein,2016
127/6195,d/AmolDeshpande,2016
127/6195,d/AmolDeshpande,2014
127/6195,g/JonathanGoldstein,2013
127/6195,d/AmolDeshpande,2013
